Fecha,Duración
20/abr/2022,41
21/abr/2022,34
26/abr/2022,29
21/abr/2022,17
20/abr/2022,8
26/abr/2022,8
21/abr/2022,0
25/abr/2022,174
27/abr/2022,153
22/abr/2022,3
27/abr/2022,78
25/abr/2022,69
26/abr/2022,40
21/abr/2022,28
21/abr/2022,28
21/abr/2022,23
21/abr/2022,23
21/abr/2022,23
22/abr/2022,18
25/abr/2022,18
25/abr/2022,18
26/abr/2022,75
22/abr/2022,10
20/abr/2022,7
20/abr/2022,7
22/abr/2022,7
26/abr/2022,7
21/abr/2022,2
22/abr/2022,0
28/abr/2022,181
28/abr/2022,8
29/abr/2022,3
29/abr/2022,407
29/abr/2022,43
29/abr/2022,36
28/abr/2022,6
29/abr/2022,1
04/may/2022,412
03/may/2022,201
04/may/2022,1083
04/may/2022,924
02/may/2022,25
04/may/2022,169
02/may/2022,34
02/may/2022,32
05/may/2022,28
03/may/2022,12
03/may/2022,8
02/may/2022,6
04/may/2022,7
05/may/2022,6
03/may/2022,4
11/may/2022,370
11/may/2022,258
09/may/2022,70
11/may/2022,61
09/may/2022,41
07/may/2022,26
09/may/2022,27
10/may/2022,5
03/may/2022,54
09/may/2022,116
09/may/2022,80
06/may/2022,73
10/may/2022,75
10/may/2022,32
05/may/2022,16
03/may/2022,10
05/may/2022,9
10/may/2022,14
05/may/2022,9
05/may/2022,8
03/may/2022,6
03/may/2022,6
04/may/2022,7
05/may/2022,8
04/may/2022,7
10/may/2022,11
03/may/2022,4
03/may/2022,0
03/may/2022,4
05/may/2022,6
05/may/2022,7
05/may/2022,7
05/may/2022,6
05/may/2022,6
05/may/2022,2
05/may/2022,2
06/may/2022,36
06/may/2022,11
06/may/2022,8
06/may/2022,8
07/may/2022,4
07/may/2022,4
07/may/2022,4
12/may/2022,10
12/may/2022,10
12/may/2022,153
13/may/2022,79
13/may/2022,4
13/may/2022,1
13/may/2022,35
14/may/2022,1577
16/may/2022,201
16/may/2022,109
16/may/2022,27
16/may/2022,6
16/may/2022,6
16/may/2022,6
17/may/2022,425
18/may/2022,6
17/may/2022,425
16/may/2022,4
18/may/2022,0
20/may/2022,88
23/may/2022,1446
25/may/2022,7
25/may/2022,307
23/may/2022,269
23/may/2022,74
25/may/2022,20
19/may/2022,0
24/may/2022,453
23/may/2022,33
25/may/2022,246
20/may/2022,8
25/may/2022,162
19/may/2022,105
20/may/2022,66
23/may/2022,55
20/may/2022,29
23/may/2022,28
25/may/2022,27
24/may/2022,26
25/may/2022,22
20/may/2022,17
20/may/2022,15
20/may/2022,15
20/may/2022,14
20/may/2022,9
25/may/2022,14
20/may/2022,9
20/may/2022,9
23/may/2022,10
23/may/2022,7
26/may/2022,97
26/may/2022,34
26/may/2022,8
26/may/2022,8
